id,Chinese,English,Status
1871,侍,attend on,1
1872,乙,"B (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/2nd heavenly stem/2nd in order",1
1873,妨,hinder/harm,1
1874,贪,greedy,1
1875,挣,"struggle, to earn/to make (money)",1
1876,汪,(surname)/expanse of water/ooze,1
1877,尿,urinate/urine,1
1878,莉,jasmine,1
1879,悬,hang/suspend,1
1880,唇,lip,1
1881,翰,pen,1
1882,仓,barn/granary/storehouse/cabin/hold (in ship),1
1883,轨,course/path/track/rail,1
1884,枚,M for small objects,1
1885,盐,salt,1
1886,览,look over/to view,1
1887,傅,(surname)/tutor,1
1888,帅,handsome/graceful/smart/commander in chief,1
1889,庙,temple/monastery,1
1890,芬,fragrant,1
1891,屏,"get rid of/put aside/reject/keep control/hold back, (standing) screen",1
1892,寺,Buddhist temple,1
1893,胖,fat/plump,1
1894,璃,colored glaze/glass,1
1895,愚,stupid,1
1896,滴,a drop/to drip,1
1897,疏,negligent/sparse/thin,1
1898,萧,mournful,1
1899,姿,beauty/disposition/looks/appearance,1
1900,颤,to tremble/to shiver/to shake/to vibrate,1
1901,丑,"2nd Earthly Branch/clown/Chou (surname), shameful/ugly/disgraceful",1
1902,劣,inferior,1
1903,柯,(surname)/handle of axe/stem,1
1904,寸,a unit of length/inch/thumb,1
1905,扔,throw,1
1906,盯,stare/gaze,1
1907,辱,disgrace/insult,1
1908,匹,"mate/one of a pair, (measure word for horses, mules, a bolt of cloth)/ordinary person",1
1909,俱,"entirely/without exception, a social club",1
1910,辨,distinguish/recognize,1
1911,饿,to be hungry/hungry,1
1912,蜂,bee/wasp,1
1913,哦,"to chant, oh is that so",1
1914,腔,cavity of body/tune,1
1915,郁,"(surname)/elegant, dense (growth)/melancholy",1
1916,溃,be dispersed/break down,1
1917,谨,cautious,1
1918,糟,"dregs/to waste/spoil, to waste/spoil",1
1919,葛,"coarse grass linen, (surname)",1
1920,苗,(surname)/Miao tribe/sprout,1
1921,肠,intestines,1
1922,忌,avoid as taboo/jealous,1
1923,溜,slip away/to skate,1
1924,鸿,eastern bean goose/great/large,1
1925,爵,nobility/(ancient wine holder with 3 legs and loop handle),1
1926,鹏,large fabulous bird,1
1927,鹰,eagle/falcon/hawk,1
1928,笼,basket/cage,1
1929,丘,"Confucius/given name/mound, earthenware, earthenware vessel",1
1930,桂,Cinnamonum cassia,1
1931,滋,excite/nourish/this,1
1932,聊,to chat/to have a chat/to kill time,1
1933,挡,"hinder/resist/obstruct/hinder/cover/keep off/a cover/to block/to get in the way of, arrange/put in order",1
1934,纲,head rope of a fishing net/guiding principle/key link/class (taxonomy)/outline/program,1
1935,肌,flesh/muscle,1
1936,茨,Tribulus terrestris/thatched hut,1
1937,壳,"shell, shell",1
1938,痕,scar/traces,1
1939,碗,bowl/cup,1
1940,穴,hole/cave,1
1941,膀,"upper arm/wing, to flirt, puffed (swollen), bladder",1
1942,卓,(surname)/outstanding,1
1943,贤,worthy (person),1
1944,卧,to lie/to crouch,1
1945,膜,(n) membrane; film,1
1946,毅,perseverance,1
1947,锦,brocade/embroidered work/bright,1
1948,欠,deficient/owe/to lack/yawn,1
1949,哩,"(onomat.), mile, (part. for continued state)",1
1950,函,envelope/case/letter,1
1951,茫,vague/vast,1
1952,昂,"high/raise (head), high/soaring/raise/lift/expensive/to raise one's head",1
1953,薛,(surname)/wormwood,1
1954,皱,to wrinkle/wrinkled/to crease,1
1955,夸,to boast,1
1956,豫,beforehand/prepare,1
1957,胃,stomach,1
1958,舌,tongue,1
1959,剥,peel/to skin,1
1960,傲,proud/overbearing/insolent/arrogant,1
1961,拾,pick up/ten (fraud-proof),1
1962,窝,nest,1
1963,睁,to open (eye),1
1964,携,to carry/to take along/to bring along/to hold (hands),1
1965,陵,mound/tomb/hill/mountain,1
1966,哼,"hum, (interj. of contempt)",1
1967,棉,cotton,1
1968,晴,clear/fine (weather),1
1969,铃,(small) bell,1
1970,填,to fill in,1
1971,饲,to raise/to rear/to feed,1
1972,渴,thirsty,1
1973,吻,kiss/mouth,1
1974,扮,to disguise oneself/to dress up/adorn,1
1975,逆,contrary/opposite/backwards/to go against/to oppose/to betray/to rebel,1
1976,脆,crisp/brittle/clear and loud voice,1
1977,喘,to gasp/to pant/asthma,1
1978,罩,cover/fish trap (basket)/shade,1
1979,卜,"turnip, to divine/foretell",1
1980,炉,stove,1
1981,柴,(surname)/firewood,1
1982,愉,pleased,1
1983,绳,rope,1
1984,胎,fetus/litter,1
1985,蓄,to store,1
1986,眠,sleep,1
1987,竭,exhaust,1
1988,喂,"(interjection) hello/to feed (someone or some animal)/hey/telephone greeting, to feed",1
1989,傻,foolish,1
1990,慕,admire,1
1991,浑,muddy,1
1992,奸,"traitor, adultery",1
1993,扇,"to fan, (a measure word for doors, windows, etc.)",1
1994,柜,"cupboard/cabinet/wardrobe, Salix multinervis",1
1995,悦,pleased,1
1996,拦,cut off/hinder,1
1997,诞,birth/birthday/brag/boast/to increase,1
1998,饱,to eat till full/satisfied,1
1999,乾,"dry, (surname)/male/strong/one of the Eight Trigrams",1
2000,泡,"puffed/swollen, to steep/soak/bubble(s)/foam",1
2001,贼,thief,1
2002,亭,pavilion,1
2003,夕,"evening, dusk",1
2004,爹,dad,1
2005,酬,entertain/repay/return/reward/compensate,1
2006,儒,scholar/Confucian,1
2007,姻,marriage connections,1
2008,卵,ovum,1
2009,氛,miasma/vapor,1
2010,泄,divulge/leak out,1
2011,杆,"pole, measure for guns, stick/pole",1
2012,挨,"lean to/in order/in sequence, next to/suffer (hunger)/endure/drag out/delay/stall/play for time",1
2013,僧,monk,1
2014,蜜,honey,1
2015,吟,moan/to hum,1
2016,猩,ape,1
2017,遂,forthwith,1
2018,狭,narrow/narrow-minded,1
2019,肖,similar/resembling/to resemble/to be like,1
2020,甜,sweet,1
2021,霞,red clouds,1
2022,驳,"argue/parti-colored/tranship/dispute/contradict/refute, argue/parti-colored/tranship",1
2023,裕,abundant,1
2024,顽,mischievous/obstinate/to play/stupid/stubborn/naughty,1
2025,於,(surname),1
2026,摘,"to borrow/to pick (flowers, fruit)/to pluck/to take/to select",1
2027,矮,short (not tall),1
2028,秒,(a measure word)/second,1
2029,卿,(old) minister/(old) term of endearment between spouses/thou (poet.),1
2030,畜,"livestock/domesticated animal/domestic animal, to raise (animals)",1
2031,咽,"narrow pass/throat, to swallow, to choke (in crying)",1
2032,披,scatter/separate/to open/to unroll/to spread out,1
2033,辅,to assist/to complement/auxiliary,1
2034,勾,"to cancel/to delineate/hook, affair/to reach for (with hand)",1
2035,盆,basin,1
2036,疆,border/boundary,1
2037,赌,bet/gamble,1
2038,塑,to model (a figure) in clay,1
2039,畏,to fear,1
2040,吵,to quarrel/to make a noise/noisy/to disturb by making a noise,1
2041,囊,sack,1
2042,嗯,(a groaning sound),1
2043,泊,to anchor/touch at/to moor,1
2044,肺,lung,1
2045,骤,sudden/suddenly,1
2046,缠,to bother/wind around/wrap round/coil/involve/annoy/tangle,1
2047,冈,ridge/mound,1
2048,羞,shy/ashamed/shame/bashful,1
2049,瞪,stare at,1
2050,吊,"to hang a person, condole with/hang",1
2051,贾,"merchant/to buy, (surname)",1
2052,漏,funnel/to leak/to let out/to divulge,1
2053,斑,variegated,1
2054,涛,big wave,1
2055,悠,at ease/long (in time)/sad,1
2056,鹿,deer,1
2057,俘,prisoner of war,1
2058,锡,tin,1
2059,卑,low/base/vulgar/inferior/humble,1
2060,葬,bury (the dead),1
2061,铭,inscribed motto,1
2062,滩,beach/shoal,1
2063,嫁,marry (a husband),1
2064,催,urge/press/expedite/prompt/hurry,1
2065,璇,(jade),1
2066,翅,wing,1
2067,盒,small box/case,1
2068,蛮,barbarian/bullying/very/quite/rough/reckless,1
2069,矣,final part.,1
2070,潘,(surname),1
2071,歧,divergent/side road,1
2072,赐,confer/bestow/grant,1
2073,鲍,abalone,1
2074,锅,pot/pan/boiler,1
2075,廊,porch,1
2076,拆,to tear open/to tear down/to tear apart/to open,1
2077,灌,irrigate/pour,1
2078,勉,exhort,1
2079,盲,blind,1
2080,宰,slaughter/butcher/govern/rule/official,1
2081,佐,assist,1
2082,啥,(dialect) what,1
2083,胀,dropsical/swollen/to swell/to be bloated,1
2084,扯,pull/tear/to talk casually,1
2085,禧,joy,1
2086,辽,Liaoning/name of a dynasty,1
2087,抹,"play/to smear, girdle/brassiere/to plaster",1
2088,筒,tube/cylinder,1
2089,棋,chess,1
2090,裤,drawers/trousers/pants,1
2091,唉,"an interjection/to express realization or agreement (yes, oh, right, etc), alas/oh dear",1
2092,朴,"Celtis sinensis var. japonica, Pak or Park (Korean surname)/plain and simple",1
2093,咐,to order,1
2094,孕,pregnant,1
2095,誓,oath/vow/to swear/to pledge,1
2096,喉,throat/larynx,1
2097,妄,absurd/fantastic,1
2098,拘,adhere/capture/restrain,1
2099,链,chain/lead or tin ore,1
2100,驰,run fast/speed/spread/gallop,1
2101,栏,fence/railing/hurdle,1
2102,逝,depart/die,1
2103,窃,I beg to presume/steal,1
2104,艳,glamorous,1
2105,臭,"stench/stink/smelly/to smell (bad), sense of smell/smell bad",1
2106,纤,"boatman's tow-rope, fine/delicate/minute",1
2107,玑,irregular pearl,1
2108,棵,M for plants,1
2109,趁,avail oneself of/take advantage of,1
2110,匠,craftsman,1
2111,盈,full/filled/surplus,1
2112,翁,(surname)/elderly person,1
2113,愁,worry about,1
2114,瞬,to wink,1
2115,婴,infant/baby,1
2116,孝,filial,1
2117,颈,neck,1
2118,倘,if,1
2119,浙,Zhejiang,1
2120,谅,forgive,1
2121,蔽,to cover/to shield/to screen/to conceal,1
2122,畅,smooth/fluent/joyful/happy,1
2123,赠,give present,1
2124,妮,"girl/phonetic ""ni"" (in girl's name)",1
2125,莎,"(insect)/(phonetic), (grass)/Cyperus rotundus",1
2126,尉,(surname)/milit. official/to quiet,1
2127,冻,to freeze,1
2128,跪,kneel,1
2129,闯,to rush/break through,1
2130,葡,grapes,1
2131,後,,1
2132,厨,kitchen,1
2133,鸭,duck,1
2134,颠,inverted/jolt/top,1
2135,遮,cover up (a shortcoming)/screen off/to hide/to conceal,1
2136,谊,friendship,1
2137,圳,"furrow in field, small drainage",1
2138,吁,"sh/hush, implore",1
2139,仑,"arrange, Koulkun mountains",1
2140,辟,"king/emperor/monarch/royal/ward off, law, dispel/open up/refute",1
2141,瘤,tumor,1
2142,嫂,older brother's wife; sister-in-law,1
2143,陀,(phonetic)/declivity/steep bank,1
2144,框,frame/door frame,1
2145,谭,(surname),1
2146,亨,prosperous,1
2147,钦,royal,1
2148,庸,ordinary/to use,1
2149,歉,apologize/deficient/to regret,1
2150,芝,Zoysia pungens,1
2151,吼,roar (of a lion),1
2152,甫,just/just now,1
2153,衫,Chinese gown (unlined),1
2154,摊,spread out/vendor's stand,1
2155,宴,feast/repose,1
2156,嘱,enjoin,1
2157,衷,inner feelings,1
2158,娇,lovable/pampered/tender/delicate/frail,1
2159,陕,Shaanxi,1
2160,矩,carpenter's square/rule,1
2161,浦,beach,1
2162,讶,astounded,1
2163,耸,excite/raise up/to shrug/high/lofty/towering,1
2164,裸,naked,1
2165,碧,green jade/bluish green/blue/jade,1
2166,摧,break/destroy/devastate/ravage/repress,1
2167,薪,fuel/salary,1
2168,淋,diseases of the bladder/to drain/to drip,1
2169,耻,shame/disgrace,1
2170,胶,glue/gum,1
2171,屠,slaughter/slaughter man,1
2172,鹅,goose,1
2173,饥,hungry,1
2174,盼,to hope for/to long for/to expect,1
2175,脖,neck,1
2176,虹,"rainbow, rainbow",1
2177,翠,bluish-green/green jade,1
2178,崩,collapse/fall into ruins,1
2179,账,account,1
2180,萍,duckweed,1
2181,逢,every time/meet by chance,1
2182,赚,"earn/make a profit, cheat/swindle",1
2183,撑,support/prop-up/to pole a boat/to open/to overfill,1
2184,翔,soar,1
2185,倡,initiate/instigate/introduce/lead/initiate,1
2186,绵,cotton/incessant/soft/downy,1
2187,猴,monkey,1
2188,枯,dried up,1
2189,巫,witch,1
2190,昭,illustrious/manifest,1
2191,怔,be startled,1
2192,渊,abyss,1
2193,凑,assemble/put together/press near/come together,1
2194,溪,"creek, creek",1
2195,蠢,blunt/stupid/to wiggle (of worms)/sluggish,1
2196,禅,"meditation/abstraction/(Zen) Buddhism, abdicate",1
2197,阐,to express/disclose/enlighten/open,1
2198,旺,prosperous/flourishing/to prosper/to flourish,1
2199,寓,reside/residence,1
2200,藤,rattan/cane,1
2201,匪,bandit,1
2202,伞,umbrella/parasol,1
2203,碑,a monument/an upright stone tablet/stele,1
2204,挪,to shift/to move,1
2205,琼,(red stone)/beautiful,1
2206,脂,fat,1
2207,谎,lies/to lie,1
2208,慨,generous/sad,1
2209,菩,Bodhisattva,1
2210,萄,grapes,1
2211,狮,lion,1
2212,掘,dig,1
2213,抄,to copy/to plagiarize/to search and seize/to go/to transcribe/to take a shortcut/to search and confiscate,1
2214,岭,mountain range,1
2215,晕,"confused/dizzy/giddy/faint/swoon/lose consciousness/pass out, dizzy/ring around moon or sun",1
2216,逮,"arrest/catch/seize/until, catch/seize/until",1
2217,砍,to chop,1
2218,掏,fish out (from pocket),1
2219,狄,(surname)/barbarians/name of a tribe,1
2220,晰,understanding,1
2221,罕,rare,1
2222,挽,draw/pull/send funeral ode,1
2223,脾,spleen,1
2224,舟,boat,1
2225,痴,"imbecile/sentimental/stupid/foolish/silly, imbecile/sentimental",1
2226,蔡,(surname),1
2227,剪,cut with scissors/scissors,1
2228,脊,spine/back/ridge,1
2229,弓,a bow (weapon),1
2230,懒,lazy,1
2231,叉,"fork/pitchfork/prong/pick/cross/intersect, to cross/be stuck, to diverge/to open (as legs)",1
2232,拐,kidnap/to turn,1
2233,喃,mumble in repetition,1
2234,僚,bureaucrat,1
2235,捐,to contribute/to donate/tax/to abandon,1
2236,姊,older sister,1
2237,骚,have sex appeal,1
2238,拓,"make rubbing, expand/support on palm/to develop/to open up",1
2239,歪,askew,1
2240,粘,"sticky, to stick/paste",1
2241,柄,authority/handle/hilt,1
2242,坑,pit/to defraud,1
2243,陌,raised path/street,1
2244,窄,narrow,1
2245,湘,name of a river,1
2246,兆,"omen/million/million million, trillion",1
2247,崖,precipice,1
2248,骄,proud/arrogant,1
2249,刹,"Buddhist monastery or temple/a brief moment, to brake (car)",1
2250,鞭,a whip or lash/to flog/slash or whip,1
2251,芒,Miscanthus sinensis,1
2252,筋,muscle,1
2253,聘,betrothed/engage (teacher)/hire,1
2254,钩,entice/hook,1
2255,棍,stick,1
2256,嚷,blurt out/to shout,1
2257,腺,gland,1
2258,弦,"bow string/string of mus. instr., string of mus. instr.",1
2259,焰,flame,1
2260,耍,play with/to juggle,1
2261,俯,look down/stoop,1
2262,厘,one thousandth,1
2263,愣,to look distracted/to stare blankly/distracted/stupefied/blank,1
2264,厦,"tall building, tall building",1
2265,恳,earnest,1
2266,饶,(surname)/to spare,1
2267,钉,nail,1
2268,寡,few/widowed,1
2269,憾,regret,1
2270,摔,throw on ground/to fall,1
2271,叠,fold up/repeat,1
2272,惹,to provoke/to exasperate/to annoy,1
2273,喻,allegory,1
2274,谱,chart/list/score (music)/spectrum (math.)(phys.),1
2275,愧,ashamed,1
2276,煌,brilliant,1
2277,徽,insignia,1
2278,溶,dissolve,1
2279,坠,fall,1
2280,煞,"decrease/tighten, baleful/bring to a stop/very",1
2281,巾,towel,1
2282,滥,excessive/indiscriminate,1
2283,洒,spill/sprinkle,1
2284,堵,stop up,1
2285,瓷,chinaware/porcelain,1
2286,咒,put a curse on,1
2287,姨,one's mother's sister/aunt,1
2288,棒,a stick/club or cudgel/smart/capable/strong,1
2289,郡,canton/county/region,1
2290,浴,bath/to bathe,1
2291,媚,flatter/charm,1
2292,稣,revive,1
2293,淮,name of a river,1
2294,哎,an interjection/hey/lookout/why etc,1
2295,屁,to break wind/to fart,1
2296,漆,paint/lacquer,1
2297,淫,excessive/wanton/lewd/kinky/obscene,1
2298,巢,nest,1
2299,吩,leave instructions/to order,1
2300,撰,"compose/compile, compose/compile/discourse in praise",1
2301,啸,to hiss/to whistle,1
2302,滞,sluggish,1
2303,玫,rose,1
2304,硕,large/big,1
2305,钓,to fish with a hook and bait,1
2306,蝶,butterfly,1
2307,膝,knee,1
2308,姚,Yao (a surname),1
2309,茂,luxuriant,1
2310,躯,human body,1
2311,吏,minor official,1
2312,猿,ape,1
2313,寨,stronghold/stockade,1
2314,恕,forgive,1
2315,渠,big/stream or canal/drain/ditch,1
2316,戚,"ashamed/grief, (surname)/relative",1
2317,辰,5th earthly branch/7-9 a.m.,1
2318,舶,sea-going vessels/ship,1
2319,颁,promulgate/send out/issue/to grant or confer,1
2320,惶,frightened,1
2321,狐,fox,1
2322,讽,satirize,1
2323,笨,stupid/foolish/silly/slow-witted/clumsy,1
2324,袍,gown (lined),1
2325,嘲,"ridicule/mock, to ridicule",1
2326,啡,coffee,1
2327,泼,splash/to spill,1
2328,衔,"hold in mouth, hold in mouth/nominal office",1
2329,倦,tired,1
2330,涵,contain,1
2331,雀,"lentigo, bird, bird",1
2332,旬,ten days/ten years,1
2333,僵,"rigid/deadlock/stiff (corpse), stiff (corpse)",1
2334,撕,to tear,1
2335,肢,limb,1
2336,垄,monopolize,1
2337,夷,a barbarian,1
2338,逸,escape/leisurely/outstanding,1
2339,茅,(surname)/thatch,1
2340,侨,emigrant/reside abroad,1
2341,舆,carriage/sedan chair/world,1
2342,窑,kiln/oven,1
2343,涅,blacken,1
2344,蒲,calamus,1
2345,谦,modest,1
2346,杭,(surname)/Hangzhou,1
2347,噢,Oh!,1
2348,弊,detriment/fraud/harm/defeat,1
2349,勋,medal/merit,1
2350,刮,"to scrape/to blow, blow (of the wind)",1
2351,郊,suburb,1
2352,凄,"intense cold/mournful, sorrowful",1
2353,捧,hold or offer with both hands,1
2354,浸,immerse/soak/steep,1
2355,砖,brick,1
2356,鼎,tripod,1
2357,篮,basket/goal,1
2358,蒸,to steam,1
2359,饼,round flat cake/cookie/cake/pastry,1
2360,亩,about 1/6 acre (M),1
2361,肾,kidney,1
2362,陡,steep,1
2363,爪,claw,1
2364,兔,rabbit,1
2365,殷,"dark red, (surname)/dynasty/flourishing, roll of thunder",1
2366,贞,chaste,1
2367,荐,recommend (a person),1
2368,哑,"(onomat.), dumb/mute",1
2369,炭,carbon/charcoal,1
2370,坟,a grave,1
2371,眨,wink,1
2372,搏,fight/combat/seize,1
2373,咳,"sound of sighing, cough",1
2374,拢,collect/draw near to,1
2375,舅,maternal uncle,1
2376,昧,conceal/dark,1
2377,擅,usurp/without authority,1
2378,爽,invigorating/straightforward/frank/open/bright/clear,1
2379,咖,coffee,1
2380,搁,to place,1
2381,禄,good fortune/official salary,1
2382,雌,female,1
2383,哨,a whistle/sentry,1
2384,巩,secure/solid,1
2385,绢,thick but loosely woven silk,1
2386,螺,screw/snail,1
2387,裹,wrap around,1
2388,昔,past/former,1
2389,轩,covered carriage/pavilion,1
2390,谬,absurd/erroneous,1
2391,谍,to spy,1
2392,龟,tortoise/turtle,1
2393,媳,daughter in law,1
2394,姜,"(surname)/ginger, ginger",1
2395,瞎,blind,1
2396,冤,injustice/to wrong,1
2397,鸦,crow,1
2398,蓬,(grass)/disheveled,1
2399,巷,lane/alley,1
2400,琳,gem,1
2401,栽,to force/to stick in/to plant,1
2402,沾,"infected by/moisten/receive favors, moisten",1
2403,诈,crafty/dishonest,1
2404,斋,a fast/studio,1
2405,瞒,conceal from,1
2406,彪,a tiger-cat/stripes/streaks/veins,1
2407,厄,distressed,1
2408,咨,consult,1
2409,纺,spin,1
2410,罐,can/jar/pot,1
2411,桶,pail/bucket/bin/barrel,1
2412,壤,soil/earth,1
2413,糕,cake,1
2414,颂,to praise,1
2415,膨,swollen,1
2416,谐,harmonious,1
2417,垒,rampart,1
2418,咕,mutter,1
2419,隙,crack/occasion for dislike,1
2420,辣,hot (spicy)/pungent,1
2421,绑,to tie/bind or fasten together,1
2422,宠,to love/to pamper/to spoil/to favor,1
2423,嘿,hey,1
2424,兑,to cash,1
